epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,441.513,0.94735,0.56943,0.91826,0.96649,0.93593,0.97803,0.79622,0.83268,0.48976,0.88855,0.000848969,0.000848969,0.000848969
43,451.902,0.93502,0.56001,0.9141,0.95071,0.93486,0.97794,0.80802,0.84097,0.48784,0.89038,0.000834822,0.000834822,0.000834822
44,462.346,0.94403,0.56113,0.91651,0.95763,0.93286,0.97811,0.80254,0.82474,0.48242,0.88675,0.000820675,0.000820675,0.000820675
45,472.758,0.93014,0.55343,0.90623,0.96978,0.93213,0.98064,0.811,0.80946,0.46793,0.88073,0.000806528,0.000806528,0.000806528
46,483.215,0.9298,0.54585,0.90888,0.97237,0.941,0.98181,0.8159,0.80747,0.477,0.8839,0.00079238,0.00079238,0.00079238
47,493.625,0.92163,0.54409,0.90907,0.96282,0.93512,0.9811,0.81562,0.80516,0.47244,0.87951,0.000778233,0.000778233,0.000778233
48,504.073,0.90865,0.54151,0.90293,0.96061,0.9474,0.98109,0.81569,0.79978,0.47256,0.88189,0.000764086,0.000764086,0.000764086
49,514.533,0.91139,0.54119,0.90428,0.96875,0.94859,0.98199,0.81271,0.81391,0.47002,0.88447,0.000749939,0.000749939,0.000749939
50,524.934,0.90241,0.53466,0.90482,0.97639,0.94588,0.98315,0.82058,0.78338,0.45717,0.87377,0.000735792,0.000735792,0.000735792
51,535.397,0.89918,0.53518,0.90173,0.97849,0.93907,0.98325,0.82688,0.78747,0.45276,0.87768,0.000721645,0.000721645,0.000721645
52,545.832,0.9007,0.52956,0.90042,0.9698,0.94813,0.98422,0.82144,0.80067,0.45848,0.87705,0.000707498,0.000707498,0.000707498
53,556.261,0.89745,0.52018,0.90132,0.97469,0.94911,0.98284,0.81991,0.77342,0.46553,0.8729,0.000693351,0.000693351,0.000693351
54,566.665,0.87721,0.52201,0.89608,0.97539,0.94756,0.9822,0.82488,0.78279,0.45876,0.87379,0.000679204,0.000679204,0.000679204
55,577.056,0.87841,0.5183,0.89493,0.97504,0.94613,0.98321,0.82397,0.78263,0.45546,0.87556,0.000665057,0.000665057,0.000665057
56,587.543,0.88334,0.51923,0.89504,0.95709,0.94972,0.98408,0.8297,0.77428,0.44847,0.8713,0.000650909,0.000650909,0.000650909
57,597.981,0.86447,0.51162,0.89383,0.96932,0.95071,0.98336,0.8265,0.77079,0.44378,0.87333,0.000636762,0.000636762,0.000636762
58,608.392,0.87371,0.51359,0.89543,0.97709,0.94796,0.98387,0.81986,0.7696,0.44918,0.87216,0.000622615,0.000622615,0.000622615
59,618.823,0.87511,0.51605,0.89265,0.97725,0.94385,0.98507,0.83368,0.76688,0.43595,0.87123,0.000608468,0.000608468,0.000608468
60,629.279,0.87504,0.5139,0.89178,0.97526,0.94923,0.98398,0.83186,0.75795,0.44156,0.86632,0.000594321,0.000594321,0.000594321
61,639.713,0.87009,0.51393,0.89022,0.97737,0.95667,0.98562,0.8418,0.74929,0.42996,0.86477,0.000580174,0.000580174,0.000580174
62,650.152,0.85982,0.5045,0.8939,0.97215,0.9573,0.98551,0.84039,0.75361,0.44053,0.86872,0.000566027,0.000566027,0.000566027
63,660.567,0.85421,0.50195,0.89172,0.97252,0.95259,0.98472,0.83939,0.76143,0.43189,0.86928,0.00055188,0.00055188,0.00055188
64,670.937,0.84891,0.50015,0.88848,0.97596,0.95009,0.98473,0.836,0.74635,0.43108,0.86434,0.000537733,0.000537733,0.000537733
65,681.363,0.84998,0.50166,0.88754,0.97667,0.95223,0.98618,0.84386,0.73025,0.42784,0.86286,0.000523586,0.000523586,0.000523586
66,691.866,0.84252,0.49506,0.88442,0.97706,0.95339,0.98561,0.83786,0.7485,0.42876,0.86554,0.000509438,0.000509438,0.000509438
67,702.238,0.83784,0.4924,0.88468,0.97913,0.95681,0.98472,0.84262,0.73709,0.42007,0.86179,0.000495291,0.000495291,0.000495291
68,712.677,0.84286,0.49361,0.88707,0.97731,0.95692,0.98667,0.84528,0.74695,0.41854,0.86514,0.000481144,0.000481144,0.000481144
69,723.196,0.83242,0.48246,0.88086,0.97889,0.95765,0.98609,0.8478,0.72173,0.41586,0.85933,0.000466997,0.000466997,0.000466997
70,733.65,0.82404,0.48154,0.87854,0.97589,0.95858,0.98683,0.84972,0.71865,0.41334,0.85919,0.00045285,0.00045285,0.00045285
71,744.086,0.83027,0.48445,0.88265,0.97364,0.95992,0.98701,0.85054,0.71203,0.40771,0.85595,0.000438703,0.000438703,0.000438703
72,754.516,0.81452,0.47924,0.87757,0.97281,0.95753,0.98683,0.84648,0.70337,0.40982,0.85481,0.000424556,0.000424556,0.000424556
73,764.949,0.81119,0.47555,0.8798,0.9727,0.96283,0.98668,0.85046,0.70459,0.41169,0.85537,0.000410409,0.000410409,0.000410409
74,775.354,0.81087,0.47462,0.87579,0.97549,0.96239,0.98696,0.85761,0.69746,0.40674,0.85374,0.000396262,0.000396262,0.000396262
75,785.738,0.8049,0.47112,0.87663,0.97662,0.96095,0.98727,0.85152,0.71123,0.41517,0.85361,0.000382115,0.000382115,0.000382115
76,796.221,0.81912,0.47788,0.87791,0.98091,0.95317,0.98585,0.85254,0.70713,0.40828,0.85749,0.000367967,0.000367967,0.000367967
77,806.608,0.80476,0.47159,0.87894,0.97802,0.96036,0.98784,0.86044,0.69764,0.39879,0.85343,0.00035382,0.00035382,0.00035382
78,817.101,0.8064,0.47163,0.87372,0.98699,0.95526,0.98731,0.86081,0.69243,0.4017,0.85176,0.000339673,0.000339673,0.000339673
79,827.589,0.79311,0.466,0.87626,0.97937,0.95967,0.98756,0.85919,0.69105,0.39746,0.85047,0.000325526,0.000325526,0.000325526
80,838.018,0.79075,0.46686,0.87265,0.9802,0.96001,0.98747,0.85765,0.68944,0.39888,0.84989,0.000311379,0.000311379,0.000311379
81,848.409,0.7958,0.46821,0.87271,0.98314,0.95961,0.98767,0.86236,0.68146,0.39374,0.84955,0.000297232,0.000297232,0.000297232
82,858.811,0.78397,0.46022,0.87043,0.97933,0.96042,0.98786,0.86431,0.67812,0.39155,0.84765,0.000283085,0.000283085,0.000283085
83,869.253,0.78102,0.46053,0.87212,0.97993,0.95876,0.9878,0.86596,0.67678,0.38876,0.84789,0.000268938,0.000268938,0.000268938
84,879.672,0.77218,0.4534,0.86833,0.98177,0.95972,0.98833,0.8675,0.68609,0.38995,0.84833,0.000254791,0.000254791,0.000254791
85,890.124,0.78609,0.46069,0.8719,0.98087,0.9606,0.98778,0.86645,0.67319,0.39136,0.84676,0.000240644,0.000240644,0.000240644
86,900.533,0.76946,0.45577,0.87105,0.98597,0.95545,0.98743,0.86628,0.67429,0.39249,0.84684,0.000226497,0.000226497,0.000226497
87,910.957,0.77388,0.45722,0.87334,0.9826,0.96169,0.98775,0.86738,0.68063,0.38904,0.84655,0.000212349,0.000212349,0.000212349
88,921.379,0.76713,0.4501,0.86945,0.98168,0.96448,0.98853,0.87301,0.65556,0.38243,0.84358,0.000198202,0.000198202,0.000198202
89,931.81,0.75855,0.4461,0.86638,0.9824,0.96169,0.98767,0.87044,0.6611,0.38544,0.84382,0.000184055,0.000184055,0.000184055
90,942.333,0.76897,0.44818,0.8642,0.98207,0.96249,0.98845,0.87278,0.6575,0.38075,0.84336,0.000169908,0.000169908,0.000169908
91,953.16,0.76962,0.44778,0.86412,0.98264,0.95741,0.98758,0.85653,0.69868,0.39649,0.85005,0.000155761,0.000155761,0.000155761
92,963.361,0.75051,0.4378,0.86005,0.98246,0.96013,0.98823,0.86387,0.69058,0.38928,0.85005,0.000141614,0.000141614,0.000141614
93,973.516,0.74034,0.42928,0.85484,0.98455,0.95951,0.98825,0.86266,0.68674,0.38946,0.84851,0.000127467,0.000127467,0.000127467
94,983.635,0.73176,0.4238,0.85889,0.98683,0.95775,0.9878,0.86637,0.66723,0.38312,0.84593,0.00011332,0.00011332,0.00011332
95,993.764,0.72399,0.42185,0.85318,0.98384,0.96013,0.98709,0.86372,0.67413,0.3852,0.84747,9.91726e-05,9.91726e-05,9.91726e-05
96,1003.92,0.72513,0.42319,0.85065,0.98529,0.95827,0.98689,0.86714,0.66727,0.38387,0.84452,8.50255e-05,8.50255e-05,8.50255e-05
97,1014.04,0.72523,0.4201,0.84851,0.98732,0.96156,0.98746,0.87067,0.66244,0.38154,0.84374,7.08784e-05,7.08784e-05,7.08784e-05
98,1024.17,0.70633,0.41326,0.85104,0.98851,0.96101,0.98762,0.87151,0.66151,0.3773,0.84279,5.67313e-05,5.67313e-05,5.67313e-05
99,1034.29,0.70615,0.41589,0.85059,0.98849,0.96318,0.98805,0.87169,0.65633,0.37629,0.84274,4.25842e-05,4.25842e-05,4.25842e-05
100,1044.37,0.70066,0.41258,0.84787,0.99107,0.96268,0.98824,0.8738,0.65419,0.3737,0.84243,2.84371e-05,2.84371e-05,2.84371e-05
