epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.20433,2.3654,3.43529,1.47176,0.02463,0.47344,0.17997,0.04097,2.0135,3.57372,1.26464,0.00018577,0.00018577,0.00018577
2,9.58154,1.78232,1.73455,1.1674,0.02727,0.54462,0.2129,0.07634,1.81425,3.14663,1.22213,0.00038201,0.00038201,0.00038201
3,11.7081,1.54193,1.3407,1.11672,0.04166,0.84857,0.4748,0.23722,1.58072,2.78652,1.12424,0.000574289,0.000574289,0.000574289
4,13.756,1.49059,1.22985,1.06986,0.04306,0.87262,0.46853,0.28356,1.42217,2.61337,1.09069,0.000762607,0.000762607,0.000762607
5,15.8007,1.43109,1.21522,1.06715,0.91522,0.36326,0.61064,0.39483,1.35417,2.04211,1.0815,0.000946964,0.000946964,0.000946964
6,17.8848,1.38487,1.11994,1.03049,0.84108,0.55869,0.67657,0.42217,1.34707,1.49642,1.08843,0.00112736,0.00112736,0.00112736
7,19.9051,1.36542,1.10161,1.04508,0.79959,0.6173,0.69791,0.45232,1.27444,1.2026,1.0686,0.00130379,0.00130379,0.00130379
8,21.9421,1.3067,1.08602,1.04642,0.8711,0.64167,0.75349,0.50712,1.22178,1.18474,1.04557,0.00132997,0.00132997,0.00132997
9,23.9492,1.29268,1.0431,1.02074,0.81392,0.68301,0.7893,0.53289,1.14818,1.10273,1.01849,0.00131582,0.00131582,0.00131582
10,25.9724,1.25744,0.99784,1.00948,0.87691,0.6642,0.79256,0.54417,1.10674,0.89595,0.99223,0.00130168,0.00130168,0.00130168
11,28.005,1.20202,0.97047,0.99574,0.88587,0.68166,0.79529,0.56092,1.10746,0.91111,1.0095,0.00128753,0.00128753,0.00128753
12,30.0284,1.18805,0.9417,1.00222,0.86441,0.70961,0.80343,0.56072,1.09941,0.95451,1.00201,0.00127338,0.00127338,0.00127338
13,32.0675,1.14669,0.90888,0.99118,0.90248,0.73751,0.84126,0.59903,1.0534,0.86142,0.98015,0.00125923,0.00125923,0.00125923
